Rounded input length	Sample name1	Sample name2	Sample name3	Sample name4	Sample name5	Sample name6	Sample name7	Sample name8	Sample name9	Sample name10	Sample name11
630	627	633	629	631	630	 632	E07_E07				
644	646	641	642	645	 647	E07_E07					
645	646	648	642	645	 647	E10_E10					
647	646	648	645	649	 647	E04_E04					
648	646	648	651	645	649	 647	D03_D03	 E10_E10			
649	646	652	648	651	649	 647	E04_E04				
650	652	648	651	653	649	 647	E06_E06	 E08_E08			
651	652	648	654	651	653	 649	D06_D06				
660	660	657	659	 658	D08_D08	 E08_E08					
663	661	660	 666	E04_E04							
668	670	669	666	671	 668	D04_D04					
669	670	672	669	666	671	 668	D02_D02				
671	673	672	669	674	671	 668	D10_D10	 E03_E03			
673	675	673	672	676	674	 671	E03_E03				
674	675	673	672	676	674	 671	D10_D10				
680	677	683	680	679	 681	D06_D06					
682	685	683	680	679	684	 681	D06_D06	 E06_E06			
684	685	687	683	686	684	 681	D05_D05				
688	685	687	 686	E07_E07							
689	692	687	 686	D07_D07							
691	693	688	 692	D09_D09	 E09_E09						
693	693	692	696	 695	D01_D01						
696	694	693	696	695	 698	D05_D05					
701	701	699	703	700	 698	D08_D08					
702	701	699	703	700	 705	D05_D05					
704	701	707	703	706	 705	D08_D08					
708	710	707	711	708	706	 705	E03_E03				
713	716	715	712	710	711	 714	E05_E05				
